"""Modelo""";Sistema Operacional;Disponibilidade;Dimensões;Peso; MELHOR PREÇO ;Faixa de Preço; pre�o min ; pre�o max ;Custo-benefício;Hardware;#NOME?;- Câmera;#NOME?;Gsm;Dual Sim;Sim Card;Chipset;Processador;64 Bit;GPU;RAM;Memória Max;Memória Expansível;Polegadas;Resolução;Densidade de pixels;Tipo;Touchscreen;Multitouch;Cores;Megapixel;Resolução;Estabilização;Autofoco;Foco por toque;Flash;HDR;Localização;Câmera Frontal;Resolução da gravação;FPS da gravação;Stereo Sound Rec;Wi-Fi;Bluetooth;USB;NFC;GPS;GPRS;EDGE;UMTS;HSDPA;HSUPA;HSPA+;LTE;Velocidade máxima de download;Velocidade máxima de upload;Acelerômetro;Proximidade;Player de música;Player de vídeo;Radio FM;Tv;Saída de TV;Browser;Flash Player;Vibração;Viva Voz;Toques;Toques personalizados;Outros;Tipo;Aperture Size;Detecção facial;Detecção de sorriso;Auto focagem de vídeo;Estabilização de vídeo;Vídeo Câmera Frontal;IRDA;Mic. de Redução de Ruído;Ampere;SAR US;Giroscópio;Bússola;Impressão digital;Resistência a água;Proteção;Slow Motion;Foto em Vídeo;Opções da Câmera Frontal;Zoom Ótico;Vídeo HDR;Autonomia conversação;Autonomia em standby;Tamanho do Sensor;Barômetro;Dual Rec;SAR EU;Dual Shot;Gesto;Preço Extra;Segundo Display;Teclado Qwerty;MMS;Email;Câmera;Preço Magazine Luiza;Preço Kabum;Preço Carrefour;Code;Altímetro;Preço Casas Bahia;Preço Submarino;Preço FastShop;Preço Americanas;Preço Walmart;Preço Colombo;Preço Pontofrio;Personalizzazione;Display Curvo;Preço Apple;Antena;Blink Detection;ROM;Temperatura;Umidade;Foto 3D;Java;Vídeo 3D;3D;HSCSD;UMA;Satelital
Nubia N1 Lite;Android 6.0 Marshmallow;2017/1;150.9 x 75 x 8.9 mm;190 gramas; R$-   ;; R$-   ; R$-   ;;5.8 / 10;5.2 / 10;07/out;2.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6737 Cortex-A53;1.3 GHz Quad Core;ok;Mali-T720 MP2;2 GB;16 GB;ok Micro SD Até 128 GB;5.5;3264 x 2448 pixel;267 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;8 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.1 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;LiPo;;ok;ok;ok;ok;720p HD, 30fps;;;3000 Mah;;;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
BlackBerry Keyone;Android 7.1 Nougat;2017/2;149.1 x 72.4 x 9.4 mm;180 gramas; R$-   ;; R$-   ; R$-   ;;8.1 / 10;7.4 / 10;08/out;7.9 / 10;ok Quad Band (850/900/1800/1900);X;Nano;Qualcomm Snapdragon 625 MSM8953 Cortex-A53;2 GHz 8 Core;ok;Adreno 506;3 GB;32 GB;ok Micro SD Até 256 GB;4.5;4038 x 3036 pixel;434 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;450 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;;;Full HD, 30fps;;ok;3505 Mah;;ok;ok;ok;;ok Gorilla Glass 4;;;;;;;;1/2.3 ;;;;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honor 8 Pro;Android 7.0 Emotion UI v5.0 Nougat;2017/2;157 x 77.5 x 7 mm;184 gramas; R$-   ;; R$-   ; R$-   ;;8.5 / 10;8.9 / 10;08/out;7.5 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Huawei HiSilicon Kirin 960;Quad-core 2.4 GHz Cortex-A73 + Quad-core 1.8 GHz Cortex-A53;ok;Mali-G71 MP8;4 GB;64 GB;ok Micro SD Até 256 GB;5.7;3968 x 2976 pixel;515 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 1.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotDLNA;LiPo;F 2.2;ok;;ok;ok;Full HD, 30fps;ok;ok;4000 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Honor 8 Pro 128GB;Android 7.0 Emotion UI v5.0 Nougat;2017/2;157 x 77.5 x 7 mm;184 gramas; R$-   ;; R$-   ; R$-   ;;8.6 / 10;8.9 / 10;08/out;7.7 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Huawei HiSilicon Kirin 960;Quad-core 2.4 GHz Cortex-A73 + Quad-core 1.8 GHz Cortex-A53;ok;Mali-G71 MP8;6 GB;128 GB;ok Micro SD Até 256 GB;5.7;3968 x 2976 pixel;515 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com LE/EDR/A2DP;ok Type-C 1.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotDLNA;LiPo;F 2.2;ok;;ok;ok;Full HD, 30fps;ok;ok;4000 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Meizu M5s;Android 6.0 Flyme 6.0 Marshmallow;2017/2;148.2 x 72.5 x 8.4 mm;143 gramas; R$735,00 ;R$ 735 - R$ 735; R$735,00 ; R$735,00 ;6.2 / 10;6.4 / 10;5.5 / 10;7.5 / 10;4.3 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6753 Cortex-A53;1.3 GHz 8 Core;ok;Mali T720 MP3;3 GB;32 GB;ok Até 256 GB;5.2;4160 x 3120 pixel;282 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.0 com A2DP/LE;ok Micro USB 2.0;;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid/Sorenson Spark;X;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;Litio;F 2.2;ok;;ok;ok;;ok;;3000 Mah;;ok;ok;ok;;;;;;;;;360 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asus ZenFone Live;Android 6.0 ASUS ZenUI 3.5 Marshmallow;2017/1;141.18 x 71.74 x 7.95 mm;120 gramas; R$615,00 ;R$ 615 - R$ 942; R$615,00 ; R$942,00 ;7.3 / 10;6.7 / 10;5.5 / 10;7.5 / 10;05/out;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 400 MSM8928 Cortex-A7;1.4 GHz Quad Core;X;Adreno 305;2 GB;16 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 128 GB;5;4160 x 3120 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;X;ok 802.11b/g/n;ok 4.1 com A2DP/EDR;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;DTV;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;;;;;;2650 Mah;;;ok;;;ok Gorilla Glass 4;;;;;;960 minutos;471 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Xiaomi Redmi Note 4X;Android 6.0 MIUI v8 Marshmallow;2017/1;151 x 76 x 8.45 mm;175 gramas; R$1.099,00 ;R$ 1.099 - R$ 1.199; R$1.099,00 ; R$1.199,00 ;7.7 / 10;8.2 / 10;8.1 / 10;7.5 / 10;08/out;ok Quad Band (850/900/1800/1900);ok;Micro-Nano;Qualcomm Snapdragon 625 MSM8953 Cortex-A53;2 GHz 8 Core;ok;Adreno 506;4 GB;64 GB;ok Micro SD Até 256 GB;5.5;4160 x 3120 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;X;ok 802.11 a/b/g/n;ok 4.1 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspot;LiPo;F 2;ok;ok;ok;X;720p HD, 30fps;;ok;4100 Mah;;ok;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZTE Blade A2 Plus;Android 6.0 MiFavor UI Marshmallow;2017/1;155 x 76.2 x 9.8 mm;189 gramas; R$-   ;; R$-   ; R$-   ;;7.2 / 10;8.1 / 10;7.5 / 10;4.4 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6750T Cortex-A53;Quad-core 1.5 GHz Cortex-A53 + Quad-core 1.0 GHz Cortex-A53;ok;ARM Mali-T860MP2;4 GB;32 GB;ok Micro SD Até 256 GB;5.5;4160 x 3120 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.0 com A2DP;ok Micro USB 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;ok;;ok;;;;ok;5000 Mah;;;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG K10 Pro;Android 7.0 Nougat;2017/1;155.6 x 79.8 x 7.4 mm;149 gramas; R$747,00 ;R$ 747 - R$ 1.499; R$747,00 ; R$1.499,00 ;6.4 / 10;6.4 / 10;4.9 / 10;7.5 / 10;04/out;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6750 Cortex-A53;Quad-core 1.5 GHz Cortex-A53 + Quad-core 1.0 GHz Cortex-A53;ok;Mali-T860MP2;2 GB;32 GB;ok Micro SD Atè 256 GB;5.7;4128 x 3096 pixel;258 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/MKV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspotSmart Pen Pro;Litio;;ok;;ok;;Full HD, 30fps;;ok;3080 Mah;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
LG K10 Power;Android 7.0 Nougat;2017/1;154.7 x 78.1 x 8.49 mm;164 gramas; R$703,00 ;R$ 703 - R$ 1.641; R$703,00 ; R$1.641,00 ;6.7 / 10;6.5 / 10;5.2 / 10;7.5 / 10;04/out;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek MT6750;Quad-core 1.5 GHz Cortex-A53 + Quad-core 1.0 GHz Cortex-A53;ok;Mali-T860MP2;2 GB;32 GB;ok Micro SD Até 256 GB;5.5;4160 x 3120 pixel;267 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;X;ok 802.11b/g/n;ok 4.2 com A2DP/LE;ok Micro USB 2.0;ok;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok H.263/H.264/WMV/DIVX/MKV;ok;DTV;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspotUSB OTG;Litio;F 2.2;ok;ok;X;X;Full HD, 30fps;;;4400 Mah;;;ok;;;;;ok;;;;;;01/mar;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
ZTE Blade V8 Pro;Android 6.0 Marshmallow;2017/1;155.96 x 76.96 x 9.14 mm;185 gramas; R$-   ;; R$-   ; R$-   ;;8.2 / 10;8.1 / 10;08/out;7.9 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 625 MSM8953;2 GHz 8 Core;ok;Adreno 506;3 GB;32 GB;ok Micro SD Até 128 GB;5.5;4128 x 3096 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE;ok Type-C 2.0;X;ok A-GPS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;ok;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;;ok;;ok;ok;Full HD, 30fps;;ok;3140 Mah;;;ok;ok;;ok Gorilla Glass 3;ok 120 fps;;;;;1440 minutos;552 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vivo V5 Plus;Android 6.0 Funtouch OS 3.0 Marshmallow;2017/1;152.58 x 74 x 7.26 mm;158.6 gramas; R$-   ;; R$-   ; R$-   ;;8.3 / 10;8.1 / 10;8.4 / 10;08/out;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 625 MSM8953 Cortex-A53;2 GHz 8 Core;ok;Adreno 506;4 GB;64 GB;X;5.5;4608 x 3456 pixel;401 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 20 Mp;ok 4K (2160p);30 fps;X;ok 802.11 a/b/g/n/ac;ok 4.0 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid/Sorenson Spark;;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotUSB OTG;Litio;F 2;ok;;ok;;Full HD, 30fps;;ok;3160 Mah;;ok;ok;ok;;ok Gorilla Glass 5;;;HDR;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
vivo V5 Lite;Android 6.0 Funtouch OS 3.0 Marshmallow;2017/1;153.8 x 75.5 x 7.6 mm;155 gramas; R$-   ;; R$-   ; R$-   ;;7.4 / 10;5.2 / 10;7.5 / 10;08/out;ok Quad Band (850/900/1800/1900);ok;Nano-Micro;Qualcomm Snapdragon 625 MSM8953 Cortex-A53;2 GHz 8 Core;ok;Adreno 506;4 GB;64 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 128 GB;5.5;4160 x 3120 pixel;267 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 16 Mp;ok Full HD;30 fps;X;ok 802.11 a/b/g/n;ok 4.0 com A2DP/LE;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid/Sorenson Spark;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;SNS integrationWi-Fi DirectWi-Fi hotspotUSB OTG;Litio;F 2.2;ok;;ok;;Full HD, 30fps;;ok;3000 Mah;;X;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung Galaxy C9 Pro;Android 6.0.1 Marshmallow;2016/4;162.9 x 80.7 x 6.9 mm;189 gramas; R$-   ;; R$-   ; R$-   ;;8.2 / 10;8.1 / 10;8.1 / 10;7.7 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 653 MSM8976;4x1.95 GHz Cortex-A72 + 4x1.4 GHz Cortex-A53;ok;Adreno 510;6 GB;64 GB;ok Micro SD Até 256 GB;6;4608 x 3456 pixel;367 ppi;Super AMOLED;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 16 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.2 com A2DP/LE;ok Type-C 1.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;-;-;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 1.9;ok;;ok;ok;Full HD, 30fps;;ok;4000 Mah;;;ok;ok;;;;;;;;;;;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei P8 Lite 2017;Android 7.0 Emotion UI v5.0 Nougat;2017/1;147.2 x 72.94 x 7.6 mm;147 gramas; R$-   ;; R$-   ; R$-   ;;8.1 / 10;8.3 / 10;7.5 / 10;7.1 / 10;ok Quad Band (850/900/1800/1900);ok também disponível single SIM;Nano;Huawei HiSilicon Kirin 655;4x 2.1 GHz Cortex-A53 + 4x 1.7 GHz Cortex-A53;ok;Mali-T830 MP2;3 GB;16 GB;ok Micro SD Slot híbrido SIM/MicroSD atè 128 GB;5.2;3968 x 2976 pixel;424 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;12 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com LE/EDR/A2DP;ok Micro USB 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 2;ok;;ok;;720p HD, 30fps;;ok;3000 Mah;;;ok;ok;;;;;;;;1260 minutos;670 horas;;;;Head 0.96 W/kg Body 0.98 W/kg;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Samsung Galaxy C7 Pro;Android 6.0.1 Marshmallow;2017/1;156.5 x 77.2 x 6.7 mm;172 gramas; R$-   ;; R$-   ; R$-   ;;8.3 / 10;08/out;8.1 / 10;08/out;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 625 MSM8953 Cortex-A53;2 GHz 8 Core;ok;Adreno 506;4 GB;64 GB;ok Micro SD Até 256 GB;5.7;4608 x 3456 pixel;386 ppi;Super AMOLED;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 16 Mp;ok Full HD;30 fps;;ok 802.11 a/b/g/n;ok 4.2 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspot;Litio;F 1.9;ok;;ok;ok;Full HD, 30fps;;ok;3300 Mah;;ok;ok;ok;;;;;;;;;;;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTC U Ultra;Android 7.0 Nougat;2017/1;162.4 x 79.8 x 8 mm;170 gramas; R$-   ;; R$-   ; R$-   ;;8.7 / 10;8.9 / 10;8.4 / 10;8.2 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 821 MSM8996;Dual-Core 2.15 Ghz Kryo +  Dual-Core 1.6 Ghz Kryo;ok;Adreno 530;4 GB;128 GB;ok Micro SD Até 2 TB;5.7;4038 x 3036 pixel;513 ppi;Super LCD5;ok Capacitiva;ok;16 milhões;12 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 16 Mp;ok 4K (2160p);30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE;ok Type-C 3.1;ok;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;600 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;Litio;F 1.8;ok;;ok;ok;Full HD, 30fps;;ok;3000 Mah;;ok;ok;ok;;ok Sapphire crystal glass;;ok;HDR;;ok;1560 minutos;312 horas;1/2.3 ;;;;;ok;;ok 2.05 polegadas Super LCD 160 pixel 1040 pixel;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
HTC U Play;Android 7.0 Nougat;2017/1;145.99 x 72.9 x 7.99 mm;145 gramas; R$-   ;; R$-   ; R$-   ;;8.2 / 10;8.3 / 10;10/out;5.6 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;MediaTek Helio P10 MT6755;Quad-core 2.0 GHz Cortex-A53 + Quad-core 1.2 GHz Cortex-A53;ok;Mali-T860 MP2;4 GB;64 GB;ok Micro SD Até 2 TB;5.2;4608 x 3456 pixel;428 ppi;Super LCD;ok Capacitiva;ok;16 milhões;1216 Mp;;ok Ótica;ok;ok;ok Dual LED;ok;ok;ok 16 Mp;ok Full HD;30 fps;ok;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE;ok Type-C 2.0;ok;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV/DIVX/Xvid;;X;;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotDLNA;Litio;F 2;ok;;ok;ok;Full HD, 30fps;;ok;2500 Mah;;ok;ok;ok;;ok Gorilla Glass;;ok;HDR;;ok;912 minutos;427 horas;;;;;;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Nokia 6;Android 7.0 Nougat;2017/1;154 x 75.8 x 8.4 mm;169 gramas; R$1.299,00 ;R$ 1.299 - R$ 1.299; R$1.299,00 ; R$1.299,00 ;;8.1 / 10;8.1 / 10;8.1 / 10;6.8 / 10;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm MSM8937 Snapdragon 430;Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 GHz Cortex-A53;ok;Adreno 505;4 GB;64 GB;ok Micro SD Atè 256 GB;5.5;4608 x 3456 pixel;403 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;16 Mp;;ok Digital;ok;ok;ok Dual LED;ok;ok;ok 8 Mp;ok Full HD;30 fps;ok;ok 802.11b/g/n;ok 4.1 com A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;150 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;Litio;F 2;ok;;;;Full HD, 30fps;;ok;3000 Mah;;ok;ok;ok;;ok Gorilla Glass 3;;;;;;1080 minutos;768 horas;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Huawei Nova Smart;Android 6.0 Emotion UI V4.1 Marshmallow;2017/1;143.5 x 69.9 x 7.6 mm;138 gramas; R$-   ;; R$-   ; R$-   ;;6.9 / 10;5.5 / 10;7.5 / 10;6.6 / 10;ok Quad Band (850/900/1800/1900);X;;Qualcomm Snapdragon 435 MSM8940;Quad-core 1.4 GHz Cortex-A53 + Quad-core 1.1 Cortex-A53;ok;Adreno 505;2 GB;16 GB;ok Micro SD Atè 128 GB;5;4208 x 3120 pixel;294 ppi;IPS LCD;ok Capacitiva;ok;16 milhões;13 Mp;;ok Digital;ok;ok;ok LED;ok;ok;ok 5 Mp;ok Full HD;30 fps;;ok 802.11b/g/n;ok 4.1 com A2DP;ok Micro USB 2.0;X;ok A-GPS/GLONASS;ok;ok;ok;ok;ok;ok;ok;300 Mbps;50 Mbps;ok;ok;ok;ok MP4/H.263/H.264;ok;X;X;ok Html/HTML5;X;ok;ok;ok Polifônicos;ok;Wi-Fi hotspot;LiPo;F 2.2;ok;;ok;;Full HD, 30fps;;ok;3020 Mah;;X;ok;ok;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
Asus Zenfone AR;Android 7.0 Nougat;2017/1;158.67 x 77.7 x 8.95 mm;170 gramas; R$-   ;; R$-   ; R$-   ;;09/out;8.9 / 10;9.9 / 10;08/out;ok Quad Band (850/900/1800/1900);ok;Nano;Qualcomm Snapdragon 821 MSM8996 Pro;Dual-Core 2.35 Ghz Kryo + Dual-Core 2.0 Ghz Kryo;ok;Adreno 530;8 GB;256 GB;ok Micro SD Até 256 GB;5.7;5488 x 4112 pixel;515 ppi;Super AMOLED;ok Capacitiva;ok;16 milhões;23 Mp;;ok Ótica;ok;ok;ok LED;ok;ok;ok 8 Mp;ok 4K (2160p);30 fps;;ok 802.11 a/b/g/n/ac;ok 4.2 com A2DP/LE;ok Type-C 2.0;X;ok A-GPS/GLONASS/BeiDou;ok;ok;ok;ok;ok;ok;ok;600 Mbps;75 Mbps;ok;ok;ok;ok MP4/H.263/H.264/WMV;;X;X;ok Html;X;ok;ok;ok Polifônicos;ok;Wi-Fi DirectWi-Fi hotspotTangoDaydream VR;Litio;F 2;ok;ok;ok;ok;Full HD, 30fps;;ok;3300 Mah;;ok;ok;ok;;ok Gorilla Glass 4;;;;ok 3 x;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;;
